theme,question,characteristic,base_group,group,odds_ratio,conf_lower,conf_upper,population_perc,base_perc
Out of Hours,I felt that I got the right treatment or advice,Religion,Church of Scotland,Jewish,0.43200000000000005,0.23600000000000002,0.7879999999999999,0.0015662675432269234,0.43221427639126464
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Religion,Church of Scotland,Hindu,1.9369999999999998,0.899,4.1739999999999995,0.0019097472676187926,0.43221427639126464
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Religion,Church of Scotland,Hindu,0.8059999999999999,0.555,1.17,0.0019097472676187926,0.43221427639126464
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Religion,Church of Scotland,Hindu,0.932,0.644,1.349,0.0019097472676187926,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Religion,Church of Scotland,Hindu,1.31,0.917,1.871,0.0019097472676187926,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Religion,Church of Scotland,Hindu,1.075,0.7040000000000001,1.643,0.0019097472676187926,0.43221427639126464
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Religion,Church of Scotland,Hindu,0.6829999999999999,0.447,1.044,0.0019097472676187926,0.43221427639126464
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Religion,Church of Scotland,Hindu,1.5090000000000001,0.7909999999999999,2.8760000000000003,0.0019097472676187926,0.43221427639126464
At your GP surgery,How clean is your GP surgery or health centre?,Religion,Church of Scotland,Hindu,1.252,0.909,1.725,0.0019097472676187926,0.43221427639126464
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Religion,Church of Scotland,Hindu,1.274,0.8490000000000001,1.912,0.0019097472676187926,0.43221427639126464
Doctor,The doctor listened to me,Religion,Church of Scotland,Hindu,1.263,0.619,2.58,0.0019097472676187926,0.43221427639126464
Doctor,I felt that the doctor had all the information needed to treat me,Religion,Church of Scotland,Hindu,1.421,0.8340000000000001,2.4219999999999997,0.0019097472676187926,0.43221427639126464
Doctor,The doctor was considerate and understanding,Religion,Church of Scotland,Hindu,1.787,0.934,3.417,0.0019097472676187926,0.43221427639126464
Doctor,The doctor talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,Hindu,1.52,0.862,2.682,0.0019097472676187926,0.43221427639126464
Doctor,I felt confident in the doctor's ability to treat me,Religion,Church of Scotland,Hindu,1.206,0.728,1.9980000000000002,0.0019097472676187926,0.43221427639126464
Doctor,I had enough time with the doctor,Religion,Church of Scotland,Hindu,0.937,0.575,1.5290000000000001,0.0019097472676187926,0.43221427639126464
Nurse,The nurse listened to me,Religion,Church of Scotland,Hindu,0.682,0.311,1.495,0.0019097472676187926,0.43221427639126464
Nurse,I felt that the nurse had all the information needed to treat me,Religion,Church of Scotland,Hindu,0.46799999999999997,0.263,0.833,0.0019097472676187926,0.43221427639126464
Nurse,The nurse was considerate and understanding,Religion,Church of Scotland,Hindu,0.544,0.282,1.05,0.0019097472676187926,0.43221427639126464
Nurse,The nurse talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,Hindu,0.5760000000000001,0.32799999999999996,1.013,0.0019097472676187926,0.43221427639126464
Nurse,I felt confident in the nurse's ability to treat me,Religion,Church of Scotland,Hindu,0.38799999999999996,0.22399999999999998,0.674,0.0019097472676187926,0.43221427639126464
Nurse,I had enough time with the nurse,Religion,Church of Scotland,Hindu,0.431,0.22899999999999998,0.812,0.0019097472676187926,0.43221427639126464
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Religion,Church of Scotland,Hindu,0.9329999999999999,0.626,1.389,0.0019097472676187926,0.43221427639126464
Medicines,It was easy enough for me to get my medicines,Religion,Church of Scotland,Hindu,1.489,0.609,3.6430000000000002,0.0019097472676187926,0.43221427639126464
Medicines,I knew enough about what my medicines were for,Religion,Church of Scotland,Hindu,1.226,0.574,2.623,0.0019097472676187926,0.43221427639126464
Medicines,I knew enough about possible side effects of my medicines,Religion,Church of Scotland,Hindu,0.8420000000000001,0.579,1.224,0.0019097472676187926,0.43221427639126464
Medicines,I would know what to do if I had any problems with my medicines,Religion,Church of Scotland,Hindu,0.743,0.499,1.107,0.0019097472676187926,0.43221427639126464
Medicines,I took my prescription as I was supposed to,Religion,Church of Scotland,Hindu,1.2109999999999999,0.38,3.862,0.0019097472676187926,0.43221427639126464
Overall care,I am treated with dignity and respect,Religion,Church of Scotland,Hindu,1.508,0.855,2.658,0.0019097472676187926,0.43221427639126464
Overall care,I am treated with kindness and understanding,Religion,Church of Scotland,Hindu,1.21,0.765,1.912,0.0019097472676187926,0.43221427639126464
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Religion,Church of Scotland,Hindu,1.196,0.769,1.859,0.0019097472676187926,0.43221427639126464
Out of Hours,I felt that the person had all the information needed to treat me,Religion,Church of Scotland,Hindu,0.6779999999999999,0.391,1.173,0.0019097472676187926,0.43221427639126464
Out of Hours,I felt that I got the right treatment or advice,Religion,Church of Scotland,Hindu,0.88,0.491,1.578,0.0019097472676187926,0.43221427639126464
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Religion,Church of Scotland,Pagan,0.802,0.58,1.1079999999999999,0.006663506653202262,0.43221427639126464
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Religion,Church of Scotland,Pagan,1.0490000000000002,0.851,1.291,0.006663506653202262,0.43221427639126464
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Religion,Church of Scotland,Pagan,1.266,1.015,1.579,0.006663506653202262,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Religion,Church of Scotland,Pagan,1.062,0.89,1.2670000000000001,0.006663506653202262,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Religion,Church of Scotland,Pagan,1.0590000000000002,0.843,1.331,0.006663506653202262,0.43221427639126464
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Religion,Church of Scotland,Pagan,0.919,0.7290000000000001,1.159,0.006663506653202262,0.43221427639126464
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Religion,Church of Scotland,Pagan,0.747,0.556,1.005,0.006663506653202262,0.43221427639126464
At your GP surgery,How clean is your GP surgery or health centre?,Religion,Church of Scotland,Pagan,1.104,0.924,1.32,0.006663506653202262,0.43221427639126464
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Religion,Church of Scotland,Pagan,0.948,0.765,1.1740000000000002,0.006663506653202262,0.43221427639126464
Doctor,The doctor listened to me,Religion,Church of Scotland,Pagan,0.953,0.674,1.3459999999999999,0.006663506653202262,0.43221427639126464
Doctor,I felt that the doctor had all the information needed to treat me,Religion,Church of Scotland,Pagan,0.726,0.575,0.9159999999999999,0.006663506653202262,0.43221427639126464
Doctor,The doctor was considerate and understanding,Religion,Church of Scotland,Pagan,0.919,0.698,1.21,0.006663506653202262,0.43221427639126464
Doctor,The doctor talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,Pagan,0.847,0.662,1.083,0.006663506653202262,0.43221427639126464
Doctor,I felt confident in the doctor's ability to treat me,Religion,Church of Scotland,Pagan,0.7020000000000001,0.56,0.88,0.006663506653202262,0.43221427639126464
Doctor,I had enough time with the doctor,Religion,Church of Scotland,Pagan,0.773,0.605,0.9890000000000001,0.006663506653202262,0.43221427639126464
Nurse,The nurse listened to me,Religion,Church of Scotland,Pagan,0.7170000000000001,0.483,1.0659999999999998,0.006663506653202262,0.43221427639126464
Nurse,I felt that the nurse had all the information needed to treat me,Religion,Church of Scotland,Pagan,0.693,0.5,0.96,0.006663506653202262,0.43221427639126464
Nurse,The nurse was considerate and understanding,Religion,Church of Scotland,Pagan,0.667,0.46,0.966,0.006663506653202262,0.43221427639126464
Nurse,The nurse talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,Pagan,0.615,0.462,0.8190000000000001,0.006663506653202262,0.43221427639126464
Nurse,I felt confident in the nurse's ability to treat me,Religion,Church of Scotland,Pagan,0.605,0.43700000000000006,0.838,0.006663506653202262,0.43221427639126464
Nurse,I had enough time with the nurse,Religion,Church of Scotland,Pagan,0.76,0.493,1.169,0.006663506653202262,0.43221427639126464
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Religion,Church of Scotland,Pagan,0.8320000000000001,0.657,1.054,0.006663506653202262,0.43221427639126464
Medicines,It was easy enough for me to get my medicines,Religion,Church of Scotland,Pagan,0.643,0.45799999999999996,0.902,0.006663506653202262,0.43221427639126464
Medicines,I knew enough about what my medicines were for,Religion,Church of Scotland,Pagan,1.124,0.7240000000000001,1.744,0.006663506653202262,0.43221427639126464
Medicines,I knew enough about possible side effects of my medicines,Religion,Church of Scotland,Pagan,0.887,0.7240000000000001,1.0859999999999999,0.006663506653202262,0.43221427639126464
Medicines,I would know what to do if I had any problems with my medicines,Religion,Church of Scotland,Pagan,0.813,0.633,1.045,0.006663506653202262,0.43221427639126464
Medicines,I took my prescription as I was supposed to,Religion,Church of Scotland,Pagan,0.418,0.282,0.622,0.006663506653202262,0.43221427639126464
Overall care,I am treated with dignity and respect,Religion,Church of Scotland,Pagan,0.909,0.703,1.176,0.006663506653202262,0.43221427639126464
Overall care,I am treated with kindness and understanding,Religion,Church of Scotland,Pagan,0.833,0.665,1.044,0.006663506653202262,0.43221427639126464
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Religion,Church of Scotland,Pagan,0.9229999999999999,0.731,1.166,0.006663506653202262,0.43221427639126464
Out of Hours,I felt that the person had all the information needed to treat me,Religion,Church of Scotland,Pagan,0.6920000000000001,0.512,0.934,0.006663506653202262,0.43221427639126464
Out of Hours,I felt that I got the right treatment or advice,Religion,Church of Scotland,Pagan,0.792,0.578,1.087,0.006663506653202262,0.43221427639126464
Access,"The last time you phoned the GP surgery, how helpful was the person who answered?",Religion,Church of Scotland,Another religion (non-Christian),0.6659999999999999,0.48700000000000004,0.9109999999999999,0.005159065460365875,0.43221427639126464
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Religion,Church of Scotland,Another religion (non-Christian),0.943,0.7559999999999999,1.176,0.005159065460365875,0.43221427639126464
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Religion,Church of Scotland,Another religion (non-Christian),0.818,0.6629999999999999,1.008,0.005159065460365875,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a doctor in your GP surgery?,Religion,Church of Scotland,Another religion (non-Christian),0.867,0.722,1.04,0.005159065460365875,0.43221427639126464
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Religion,Church of Scotland,Another religion (non-Christian),0.769,0.613,0.966,0.005159065460365875,0.43221427639126464
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Religion,Church of Scotland,Another religion (non-Christian),0.9129999999999999,0.7140000000000001,1.167,0.005159065460365875,0.43221427639126464
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Religion,Church of Scotland,Another religion (non-Christian),0.769,0.5660000000000001,1.046,0.005159065460365875,0.43221427639126464
At your GP surgery,How clean is your GP surgery or health centre?,Religion,Church of Scotland,Another religion (non-Christian),1.083,0.892,1.315,0.005159065460365875,0.43221427639126464
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Religion,Church of Scotland,Another religion (non-Christian),0.879,0.706,1.094,0.005159065460365875,0.43221427639126464
Doctor,The doctor listened to me,Religion,Church of Scotland,Another religion (non-Christian),0.57,0.42700000000000005,0.7609999999999999,0.005159065460365875,0.43221427639126464
Doctor,I felt that the doctor had all the information needed to treat me,Religion,Church of Scotland,Another religion (non-Christian),0.5720000000000001,0.456,0.716,0.005159065460365875,0.43221427639126464
Doctor,The doctor was considerate and understanding,Religion,Church of Scotland,Another religion (non-Christian),0.6809999999999999,0.528,0.88,0.005159065460365875,0.43221427639126464
Doctor,The doctor talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,Another religion (non-Christian),0.603,0.479,0.759,0.005159065460365875,0.43221427639126464
Doctor,I felt confident in the doctor's ability to treat me,Religion,Church of Scotland,Another religion (non-Christian),0.69,0.544,0.8740000000000001,0.005159065460365875,0.43221427639126464
Doctor,I had enough time with the doctor,Religion,Church of Scotland,Another religion (non-Christian),0.706,0.551,0.905,0.005159065460365875,0.43221427639126464
Nurse,The nurse listened to me,Religion,Church of Scotland,Another religion (non-Christian),0.895,0.561,1.4280000000000002,0.005159065460365875,0.43221427639126464
Nurse,I felt that the nurse had all the information needed to treat me,Religion,Church of Scotland,Another religion (non-Christian),0.758,0.527,1.089,0.005159065460365875,0.43221427639126464
Nurse,The nurse was considerate and understanding,Religion,Church of Scotland,Another religion (non-Christian),0.7290000000000001,0.48,1.107,0.005159065460365875,0.43221427639126464
Nurse,The nurse talked in a way that helped me understand my condition and treatment,Religion,Church of Scotland,Another religion (non-Christian),0.6409999999999999,0.46399999999999997,0.884,0.005159065460365875,0.43221427639126464
Nurse,I felt confident in the nurse's ability to treat me,Religion,Church of Scotland,Another religion (non-Christian),0.835,0.562,1.24,0.005159065460365875,0.43221427639126464
Nurse,I had enough time with the nurse,Religion,Church of Scotland,Another religion (non-Christian),0.768,0.489,1.207,0.005159065460365875,0.43221427639126464
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Religion,Church of Scotland,Another religion (non-Christian),0.64,0.507,0.8079999999999999,0.005159065460365875,0.43221427639126464
Medicines,It was easy enough for me to get my medicines,Religion,Church of Scotland,Another religion (non-Christian),0.636,0.449,0.902,0.005159065460365875,0.43221427639126464
Medicines,I knew enough about what my medicines were for,Religion,Church of Scotland,Another religion (non-Christian),0.7240000000000001,0.496,1.057,0.005159065460365875,0.43221427639126464
Medicines,I knew enough about possible side effects of my medicines,Religion,Church of Scotland,Another religion (non-Christian),0.83,0.667,1.033,0.005159065460365875,0.43221427639126464
Medicines,I would know what to do if I had any problems with my medicines,Religion,Church of Scotland,Another religion (non-Christian),0.633,0.496,0.8079999999999999,0.005159065460365875,0.43221427639126464
Medicines,I took my prescription as I was supposed to,Religion,Church of Scotland,Another religion (non-Christian),0.494,0.315,0.773,0.005159065460365875,0.43221427639126464
Overall care,I am treated with dignity and respect,Religion,Church of Scotland,Another religion (non-Christian),0.721,0.561,0.9279999999999999,0.005159065460365875,0.43221427639126464
Overall care,I am treated with kindness and understanding,Religion,Church of Scotland,Another religion (non-Christian),0.758,0.6,0.958,0.005159065460365875,0.43221427639126464
Overall care,"Overall, how would you rate the care provided by your GP surgery?",Religion,Church of Scotland,Another religion (non-Christian),0.718,0.574,0.897,0.005159065460365875,0.43221427639126464
Out of Hours,I felt that the person had all the information needed to treat me,Religion,Church of Scotland,Another religion (non-Christian),0.635,0.469,0.862,0.005159065460365875,0.43221427639126464
Out of Hours,I felt that I got the right treatment or advice,Religion,Church of Scotland,Another religion (non-Christian),0.649,0.47600000000000003,0.8859999999999999,0.005159065460365875,0.43221427639126464
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Sexual orientation,Heterosexual,Gay or lesbian,0.8540000000000001,0.732,0.996,0.010613523483708757,0.9127904979769044
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Sexual orientation,Heterosexual,Gay or lesbian,1.02,0.871,1.194,0.010613523483708757,0.9127904979769044
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Sexual orientation,Heterosexual,Gay or lesbian,1.06,0.89,1.263,0.010613523483708757,0.9127904979769044
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Sexual orientation,Heterosexual,Gay or lesbian,0.884,0.716,1.092,0.010613523483708757,0.9127904979769044
At your GP surgery,How clean is your GP surgery or health centre?,Sexual orientation,Heterosexual,Gay or lesbian,1.162,1.023,1.321,0.010613523483708757,0.9127904979769044
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Sexual orientation,Heterosexual,Gay or lesbian,1.062,0.9059999999999999,1.244,0.010613523483708757,0.9127904979769044
Doctor,The doctor listened to me,Sexual orientation,Heterosexual,Gay or lesbian,0.7909999999999999,0.633,0.988,0.010613523483708757,0.9127904979769044
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Sexual orientation,Heterosexual,Gay or lesbian,0.932,0.7809999999999999,1.113,0.010613523483708757,0.9127904979769044
Medicines,It was easy enough for me to get my medicines,Sexual orientation,Heterosexual,Gay or lesbian,1.073,0.7959999999999999,1.4480000000000002,0.010613523483708757,0.9127904979769044
Medicines,I knew enough about possible side effects of my medicines,Sexual orientation,Heterosexual,Gay or lesbian,0.9259999999999999,0.795,1.078,0.010613523483708757,0.9127904979769044
Out of Hours,I felt I was listened to,Sexual orientation,Heterosexual,Gay or lesbian,0.736,0.5660000000000001,0.956,0.010613523483708757,0.9127904979769044
Out of Hours,Things were explained to me in a way I could understand,Sexual orientation,Heterosexual,Gay or lesbian,0.75,0.5720000000000001,0.983,0.010613523483708757,0.9127904979769044
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Sexual orientation,Heterosexual,Gay or lesbian,1.034,0.812,1.315,0.010613523483708757,0.9127904979769044
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Sexual orientation,Heterosexual,Bisexual,1.091,0.8490000000000001,1.403,0.004506453984021322,0.9127904979769044
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Sexual orientation,Heterosexual,Bisexual,1.224,0.9470000000000001,1.5819999999999999,0.004506453984021322,0.9127904979769044
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Sexual orientation,Heterosexual,Bisexual,1.18,0.8959999999999999,1.555,0.004506453984021322,0.9127904979769044
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Sexual orientation,Heterosexual,Bisexual,1.246,0.863,1.8,0.004506453984021322,0.9127904979769044
At your GP surgery,How clean is your GP surgery or health centre?,Sexual orientation,Heterosexual,Bisexual,1.177,0.9590000000000001,1.444,0.004506453984021322,0.9127904979769044
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Sexual orientation,Heterosexual,Bisexual,0.73,0.588,0.907,0.004506453984021322,0.9127904979769044
Doctor,The doctor listened to me,Sexual orientation,Heterosexual,Bisexual,1.013,0.701,1.464,0.004506453984021322,0.9127904979769044
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Sexual orientation,Heterosexual,Bisexual,0.613,0.483,0.779,0.004506453984021322,0.9127904979769044
Medicines,It was easy enough for me to get my medicines,Sexual orientation,Heterosexual,Bisexual,0.605,0.42700000000000005,0.858,0.004506453984021322,0.9127904979769044
Medicines,I knew enough about possible side effects of my medicines,Sexual orientation,Heterosexual,Bisexual,1.03,0.812,1.308,0.004506453984021322,0.9127904979769044
Out of Hours,I felt I was listened to,Sexual orientation,Heterosexual,Bisexual,0.907,0.616,1.338,0.004506453984021322,0.9127904979769044
Out of Hours,Things were explained to me in a way I could understand,Sexual orientation,Heterosexual,Bisexual,0.932,0.622,1.396,0.004506453984021322,0.9127904979769044
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Sexual orientation,Heterosexual,Bisexual,0.993,0.708,1.3940000000000001,0.004506453984021322,0.9127904979769044
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Sexual orientation,Heterosexual,Other,0.763,0.6509999999999999,0.895,0.010276913353804724,0.9127904979769044
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Sexual orientation,Heterosexual,Other,0.79,0.6709999999999999,0.9309999999999999,0.010276913353804724,0.9127904979769044
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Sexual orientation,Heterosexual,Other,0.7190000000000001,0.602,0.858,0.010276913353804724,0.9127904979769044
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Sexual orientation,Heterosexual,Other,0.732,0.5710000000000001,0.9390000000000001,0.010276913353804724,0.9127904979769044
At your GP surgery,How clean is your GP surgery or health centre?,Sexual orientation,Heterosexual,Other,1.083,0.932,1.26,0.010276913353804724,0.9127904979769044
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Sexual orientation,Heterosexual,Other,0.85,0.711,1.015,0.010276913353804724,0.9127904979769044
Doctor,The doctor listened to me,Sexual orientation,Heterosexual,Other,0.672,0.525,0.86,0.010276913353804724,0.9127904979769044
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Sexual orientation,Heterosexual,Other,0.6509999999999999,0.542,0.782,0.010276913353804724,0.9127904979769044
Medicines,It was easy enough for me to get my medicines,Sexual orientation,Heterosexual,Other,0.677,0.504,0.91,0.010276913353804724,0.9127904979769044
Medicines,I knew enough about possible side effects of my medicines,Sexual orientation,Heterosexual,Other,1.254,1.036,1.516,0.010276913353804724,0.9127904979769044
Out of Hours,I felt I was listened to,Sexual orientation,Heterosexual,Other,0.695,0.525,0.919,0.010276913353804724,0.9127904979769044
Out of Hours,Things were explained to me in a way I could understand,Sexual orientation,Heterosexual,Other,0.722,0.5429999999999999,0.9590000000000001,0.010276913353804724,0.9127904979769044
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Sexual orientation,Heterosexual,Other,0.7,0.5479999999999999,0.892,0.010276913353804724,0.9127904979769044
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Sexual orientation,Heterosexual,Not answered,0.9179999999999999,0.83,1.0170000000000001,0.06181261120156078,0.9127904979769044
Access,When you arrange to see a doctor at your GP surgery can you usually see the doctor you prefer?,Sexual orientation,Heterosexual,Not answered,0.868,0.7829999999999999,0.9620000000000001,0.06181261120156078,0.9127904979769044
Access,Overall how would you rate the arrangements for getting to see a nurse in your GP surgery?,Sexual orientation,Heterosexual,Not answered,0.838,0.7490000000000001,0.9390000000000001,0.06181261120156078,0.9127904979769044
At your GP surgery,How helpful do you find the receptionists at your GP surgery?,Sexual orientation,Heterosexual,Not answered,0.877,0.7290000000000001,1.055,0.06181261120156078,0.9127904979769044
At your GP surgery,How clean is your GP surgery or health centre?,Sexual orientation,Heterosexual,Not answered,1.2109999999999999,1.094,1.34,0.06181261120156078,0.9127904979769044
At your GP surgery,How do you feel about how long you usually have to wait to be seen after you arrive at your GP surgery?,Sexual orientation,Heterosexual,Not answered,0.871,0.774,0.9790000000000001,0.06181261120156078,0.9127904979769044
Doctor,The doctor listened to me,Sexual orientation,Heterosexual,Not answered,0.738,0.624,0.873,0.06181261120156078,0.9127904979769044
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Sexual orientation,Heterosexual,Not answered,0.608,0.541,0.682,0.06181261120156078,0.9127904979769044
Medicines,It was easy enough for me to get my medicines,Sexual orientation,Heterosexual,Not answered,0.856,0.6890000000000001,1.063,0.06181261120156078,0.9127904979769044
Medicines,I knew enough about possible side effects of my medicines,Sexual orientation,Heterosexual,Not answered,1.168,1.037,1.3159999999999998,0.06181261120156078,0.9127904979769044
Out of Hours,I felt I was listened to,Sexual orientation,Heterosexual,Not answered,0.74,0.62,0.884,0.06181261120156078,0.9127904979769044
Out of Hours,Things were explained to me in a way I could understand,Sexual orientation,Heterosexual,Not answered,0.9329999999999999,0.7659999999999999,1.135,0.06181261120156078,0.9127904979769044
Out of Hours,"Overall, how would you rate the care you experienced out of hours?",Sexual orientation,Heterosexual,Not answered,0.815,0.6920000000000001,0.96,0.06181261120156078,0.9127904979769044
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Deprivation (SIMD),Quintile 5,Quintile 1,0.853,0.8,0.909,0.16678001497571598,0.19282951727359532
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Deprivation (SIMD),Quintile 5,Quintile 1,1.24,1.151,1.335,0.16678001497571598,0.19282951727359532
At your GP surgery,How clean is your GP surgery or health centre?,Deprivation (SIMD),Quintile 5,Quintile 1,1.5719999999999998,1.4869999999999999,1.661,0.16678001497571598,0.19282951727359532
Doctor,I felt that the doctor had all the information needed to treat me,Deprivation (SIMD),Quintile 5,Quintile 1,1.135,1.0490000000000002,1.229,0.16678001497571598,0.19282951727359532
Doctor,I felt confident in the doctor's ability to treat me,Deprivation (SIMD),Quintile 5,Quintile 1,1.048,0.968,1.1340000000000001,0.16678001497571598,0.19282951727359532
Nurse,I felt that the nurse had all the information needed to treat me,Deprivation (SIMD),Quintile 5,Quintile 1,1.249,1.115,1.3980000000000001,0.16678001497571598,0.19282951727359532
Nurse,The nurse was considerate and understanding,Deprivation (SIMD),Quintile 5,Quintile 1,1.446,1.258,1.663,0.16678001497571598,0.19282951727359532
Nurse,The nurse talked in a way that helped me understand my condition and treatment,Deprivation (SIMD),Quintile 5,Quintile 1,1.5530000000000002,1.391,1.733,0.16678001497571598,0.19282951727359532
Nurse,I felt confident in the nurse's ability to treat me,Deprivation (SIMD),Quintile 5,Quintile 1,1.328,1.176,1.5,0.16678001497571598,0.19282951727359532
Care and treatment,Are you involved as much as you want to be in decisions about your care and treatment?,Deprivation (SIMD),Quintile 5,Quintile 1,0.836,0.7709999999999999,0.9059999999999999,0.16678001497571598,0.19282951727359532
Medicines,I knew enough about possible side effects of my medicines,Deprivation (SIMD),Quintile 5,Quintile 1,1.2,1.123,1.2819999999999998,0.16678001497571598,0.19282951727359532
Medicines,I would know what to do if I had any problems with my medicines,Deprivation (SIMD),Quintile 5,Quintile 1,1.109,1.025,1.199,0.16678001497571598,0.19282951727359532
Overall care,I am treated with kindness and understanding,Deprivation (SIMD),Quintile 5,Quintile 1,1.121,1.042,1.208,0.16678001497571598,0.19282951727359532
Out of Hours,The time I waited was reasonable,Deprivation (SIMD),Quintile 5,Quintile 1,1.062,0.9640000000000001,1.17,0.16678001497571598,0.19282951727359532
Out of Hours,I felt that the person had all the information needed to treat me,Deprivation (SIMD),Quintile 5,Quintile 1,1.075,0.975,1.185,0.16678001497571598,0.19282951727359532
Access,"If you ask to make an appointment with a doctor 3 or more working days in advance, does your GP practice allow you to?",Deprivation (SIMD),Quintile 5,Quintile 2,0.8490000000000001,0.799,0.902,0.18170764379778664,0.19282951727359532
Referrals,"Thinking about the last time your GP referred you, how would you rate the arrangements for getting to see another NHS health professional?",Deprivation (SIMD),Quintile 5,Quintile 2,1.193,1.113,1.2790000000000001,0.18170764379778664,0.19282951727359532
At your GP surgery,How clean is your GP surgery or health centre?,Deprivation (SIMD),Quintile 5,Quintile 2,1.307,1.242,1.375,0.18170764379778664,0.19282951727359532
Doctor,I felt that the doctor had all the information needed to treat me,Deprivation (SIMD),Quintile 5,Quintile 2,1.109,1.0290000000000001,1.195,0.18170764379778664,0.19282951727359532
Doctor,I felt confident in the doctor's ability to treat me,Deprivation (SIMD),Quintile 5,Quintile 2,1.0290000000000001,0.955,1.1079999999999999,0.18170764379778664,0.19282951727359532
Nurse,I felt that the nurse had all the information needed to treat me,Deprivation (SIMD),Quintile 5,Quintile 2,1.199,1.078,1.3330000000000002,0.18170764379778664,0.19282951727359532
Nurse,The nurse was considerate and understanding,Deprivation (SIMD),Quintile 5,Quintile 2,1.26,1.111,1.429,0.18170764379778664,0.19282951727359532
Nurse,The nurse talked in a way that helped me understand my condition and treatment,Deprivation (SIMD),Quintile 5,Quintile 2,1.3159999999999998,1.195,1.449,0.18170764379778664,0.19282951727359532
Nurse,I felt confident in the nurse's ability to treat me,Deprivation (SIMD),Quintile 5,Quintile 2,1.188,1.062,1.33,0.18170764379778664,0.19282951727359532
